place,Total_Time,Swim_Time,Bike_Time,Run_Time
471,37456.0,4212.0,19071.0,13858.0
472,37473.0,4116.0,19087.0,13956.0
473,37497.0,3354.0,18636.0,15165.000000000002
474,37506.0,4207.0,20311.0,12621.0
475,37521.0,3979.0000000000005,19336.0,13833.0
476,37530.0,3849.0000000000005,19407.0,13939.0
477,37533.0,3913.0000000000005,19635.0,13568.0
478,37535.0,4171.0,19244.0,13720.0
479,37547.0,4046.0000000000005,19478.0,13733.0
480,37553.0,4248.0,18938.0,14084.0
481,37562.0,3778.0000000000005,19454.0,13914.0
482,37563.0,4220.0,20727.0,12205.0
483,37570.0,3089.0,19579.0,14582.0
484,37572.0,4799.0,19130.0,13303.0
485,37573.0,3955.0000000000005,20344.0,12953.0
486,37579.0,5968.0,19127.0,11893.0
487,37587.0,3741.0000000000005,20601.0,12827.0
488,37588.0,3820.0000000000005,18843.0,14652.000000000002
489,37595.0,4333.0,19362.0,13528.0
490,37610.0,3990.0000000000005,19351.0,13745.0
491,37615.0,4550.0,19098.0,13683.0
492,37616.0,4225.0,19137.0,13917.0
493,37618.0,3938.0000000000005,19817.0,13504.0
494,37619.0,3863.0000000000005,18727.0,14690.000000000002
495,37626.0,4243.0,19185.0,13912.0
496,37630.0,4259.0,19660.0,13339.0
497,37634.0,4664.0,19413.0,13329.0
498,37640.0,3369.0,19125.0,14908.000000000002
499,37643.0,3599.0,19192.0,14414.0
500,37647.0,3913.0000000000005,18257.0,15092.000000000002
501,37651.0,4263.0,19629.0,13413.0
502,37651.0,4351.0,19060.0,13807.0
503,37654.0,3544.0,18673.0,15105.000000000002
504,37666.0,4356.0,19711.0,13097.0
505,37666.0,3253.0,20986.0,12962.0
506,37672.0,3578.0,20215.0,13449.0
507,37678.0,4146.0,19308.0,13846.0
508,37679.0,3963.0000000000005,19024.0,14291.0
509,37683.0,4399.0,19090.0,13600.0
510,37689.0,3098.0,18759.0,15621.000000000002
511,37704.0,4543.0,19575.0,12803.0
512,37721.0,4003.0000000000005,19900.0,13504.0
513,37725.0,4216.0,19556.0,13590.0
514,37726.0,4381.0,19342.0,13674.0
515,37729.0,3798.0000000000005,18816.0,14865.000000000002
516,37744.0,3587.0,19771.0,13976.0
517,37746.0,4150.0,19796.0,13573.0
518,37746.0,4488.0,20099.0,12746.0
519,37746.0,3703.0000000000005,19986.0,13688.0
